Team1,Team2,Winner,Margin,Ground,Match Date,T-20 Int Match,Team1 Avg Batting Ranking,Team2 Avg Batting Ranking,Team1 Avg Bowling Ranking,Team2 Avg Bowling Ranking,Team1 Total WCs participated,Team1 Total WCs won,Team2 Total WCs participated,Team2 Total WCs won,Team1 win % over Team2
USA,India,India,7 wickets,New York,2024/06/12,T20I # 2671,100.33,79.27,101.0,74.53,0,0,8,1,0.0
Australia,Namibia,Australia,9 wickets,North Sound,2024/06/11,T20I # 2666,64.33,98.94,74.13,99.38,8,1,2,0,0.0
Canada,Pakistan,Pakistan,7 wickets,New York,2024/06/11,T20I # 2665,99.53,82.2,101.0,89.0,0,0,8,1,0.0
Bangladesh,South Africa,South Africa,4 runs,New York,2024/06/10,T20I # 2664,92.53,77.53,81.0,80.0,8,0,8,0,0.0
Oman,Scotland,Scotland,7 wickets,North Sound,2024/06/09,T20I # 2659,101.0,94.73,101.0,95.2,2,0,5,0,0.0
India,Pakistan,India,6 runs,New York,2024/06/09,T20I # 2658,78.13,82.07,76.8,90.27,8,1,8,1,66.66
West Indies,Uganda,West Indies,134 runs,Providence,2024/06/08,T20I # 2651,79.73,101.0,84.27,101.0,8,2,0,0,0.0
Australia,England,Australia,36 runs,Bridgetown,2024/06/08,T20I # 2650,65.4,77.0,74.73,73.6,8,1,8,2,43.47
Netherlands,South Africa,South Africa,4 wickets,New York,2024/06/08,T20I # 2649,93.8,77.13,92.53,79.47,5,0,8,0,0.0
Bangladesh,Sri Lanka,Bangladesh,2 wickets,Dallas,2024/06/07,T20I # 2646,93.2,86.67,82.8,93.4,8,0,8,1,31.25
Afghanistan,New Zealand,Afghanistan,84 runs,Providence,2024/06/07,T20I # 2645,85.2,74.13,86.33,72.53,6,0,8,0,0.0
Canada,Ireland,Canada,12 runs,New York,2024/06/07,T20I # 2644,99.73,92.93,101.0,95.73,0,0,7,0,50.0
Namibia,Scotland,Scotland,5 wickets,Bridgetown,2024/06/06,T20I # 2643,100.31,94.53,99.56,94.73,2,0,5,0,100.0
USA,Pakistan,tied,-,Dallas,2024/06/06,T20I # 2642,101.0,82.07,101.0,89.87,0,0,8,1,0.0
Australia,Oman,Australia,39 runs,Bridgetown,2024/06/05,T20I # 2641,65.0,101.0,75.0,101.0,8,1,2,0,0.0
PNG,Uganda,Uganda,3 wickets,Providence,2024/06/05,T20I # 2640,98.6,101.0,101.0,101.0,1,0,0,0,100.0
India,Ireland,India,8 wickets,New York,2024/06/05,T20I # 2639,76.8,92.13,76.93,95.27,8,1,7,0,100.0
Nepal,Netherlands,Netherlands,6 wickets,Dallas,2024/06/04,T20I # 2638,100.2,93.2,100.8,94.0,1,0,5,0,0.0
England,Scotland,no result,-,Bridgetown,2024/06/04,T20I # 2637,76.8,94.47,72.33,94.6,8,2,5,0,0.0
Afghanistan,Uganda,Afghanistan,125 runs,Providence,2024/06/03,T20I # 2636,85.4,101.0,86.67,101.0,6,0,0,0,0.0
South Africa,Sri Lanka,South Africa,6 wickets,New York,2024/06/03,T20I # 2635,77.73,84.6,79.87,93.2,8,0,8,1,64.7
Namibia,Oman,tied,-,Bridgetown,2024/06/02,T20I # 2634,100.25,101.0,99.75,101.0,2,0,2,0,66.6
West Indies,PNG,West Indies,5 wickets,Providence,2024/06/02,T20I # 2633,78.33,98.8,85.13,101.0,8,2,1,0,0.0
USA,Canada,USA,7 wickets,Dallas,2024/06/01,T20I # 2632,101.0,100.47,101.0,101.0,0,0,0,0,57.14
